Samples,Temperature,Salinity,pH,Oxygen,Ammonia ,Phosphates,Nitrates,Nitrites,TSS
S1Dry2022-1,26.4,36.1,8.91,5.62,10,2,2.1,0.91,3.69
S1Dry2022-2,26.2,36.3,8.18,6.01,10,2,5.58,1.46,3.61
S1Dry2022-3,26.5,36.2,8.63,6.3,11.6,2,7.25,1.58,3.57
S1Dry2022-4,26.4,36.1,8.91,5.62,10,2,2.1,0.91,3.69
S1Dry2022-5,26.2,36.3,8.18,6.01,10,2,5.58,1.46,3.61
S1Dry2022-6,26.5,36.2,8.63,6.3,11.6,2,7.25,1.58,3.57
S1Dry2022-7,26.4,36.1,8.91,5.62,10,2,2.1,0.91,3.69
S1Dry2022-8,26.2,36.3,8.18,6.01,10,2,5.58,1.46,3.61
S2Dry2022-1,25.9,36.3,8.35,5.39,11.6,3.28,21.7,1.63,1.4
S2Dry2022-2,26.6,36.1,8.34,5.7,11.8,3.09,20.05,1.43,1.77
S2Dry2022-3,26.4,36.4,8.39,5.22,13.4,2.83,21.6,1.56,1.62
S2Dry2022-4,25.9,36.3,8.35,5.39,11.6,3.28,21.7,1.63,1.4
S2Dry2022-5,26.6,36.1,8.34,5.7,11.8,3.09,20.05,1.43,1.77
S2Dry2022-6,26.4,36.4,8.39,5.22,13.4,2.83,21.6,1.56,1.62
S2Dry2022-7,25.9,36.3,8.35,5.39,11.6,3.28,21.7,1.63,1.4
S2Dry2022-8,26.6,36.1,8.34,5.7,11.8,3.09,20.05,1.43,1.77
S1Rainy2022-1,28.2,29.9,8.4,4.29,10,4.7,12.5,0.7,12.2
S1Rainy2022-2,28.3,29.4,8.43,4.22,10,3.32,11.9,0.7,11.1
S1Rainy2022-3,28.3,29.9,8.45,4.3,10,3.26,11.1,0.7,11
S1Rainy2022-4,28.2,29.9,8.4,4.29,10,4.7,12.5,0.7,12.2
S1Rainy2022-5,28.3,29.4,8.43,4.22,10,3.32,11.9,0.7,11.1
S1Rainy2022-6,28.3,29.9,8.45,4.3,10,3.26,11.1,0.7,11
S1Rainy2022-7,28.2,29.9,8.4,4.29,10,4.7,12.5,0.7,12.2
S1Rainy2022-8,28.3,29.4,8.43,4.22,10,3.32,11.9,0.7,11.1
S2Rainy2022-1,28.4,29.8,8.3,4.16,10,4.5,9.78,0.7,23.1
S2Rainy2022-2,28.7,29.9,8.43,4.44,10,4.53,13.8,0.7,14.3
S2Rainy2022-3,28.2,29.7,8.45,4.3,10,4.57,9.99,0.7,34.2
S2Rainy2022-4,28.4,29.8,8.3,4.16,10,4.5,9.78,0.7,23.1
S2Rainy2022-5,28.7,29.9,8.43,4.44,10,4.53,13.8,0.7,14.3
S2Rainy2022-6,28.2,29.7,8.45,4.3,10,4.57,9.99,0.7,34.2
S2Rainy2022-7,28.4,29.8,8.3,4.16,10,4.5,9.78,0.7,23.1
S2Rainy2022-8,28.7,29.9,8.43,4.44,10,4.53,13.8,0.7,14.3
S1Dry2022-9,26.5,36.2,8.63,6.3,11.6,2,7.25,1.58,3.57
S2Dry2022-9,26.4,36.4,8.39,5.22,13.4,2.83,21.6,1.56,1.62
S1Rainy2022-9,28.3,29.9,8.45,4.3,10,3.26,11.1,0.7,11
S2Rainy2022-9,28.2,29.7,8.45,4.3,10,4.57,9.99,0.7,34.2
S1Dry2023-1,26,35.7,8.12,5.9,11.4,4.64,5.16,1.56,15.9
S1Dry2023-2,26.4,35.29,8.13,6.07,10,3.28,6.6,1.35,13
S1Dry2023-3,25.84,35.7,8.12,5.9,10,3.13,5.27,1.39,14.2
S1Dry2023-4,26,35.7,8.12,5.9,11.4,4.64,5.16,1.56,15.9
S1Dry2023-5,26.4,35.29,8.13,6.07,10,3.28,6.6,1.35,13
S1Dry2023-6,25.84,35.7,8.12,5.9,10,3.13,5.27,1.39,14.2
S1Dry2023-7,26,35.7,8.12,5.9,11.4,4.64,5.16,1.56,15.9
S1Dry2023-8,26.4,35.29,8.13,6.07,10,3.28,6.6,1.35,13
S2Dry2023-1,26.4,35.6,8.01,6.71,10,2.56,2.1,0.7,15
S2Dry2023-2,26.4,35.4,8.17,6.79,10,3.91,2.1,0.7,14.7
S2Dry2023-3,26.2,35.3,8.22,7.26,10,2,2.1,0.7,27.6
S2Dry2023-4,26.4,35.6,8.01,6.71,10,2.56,2.1,0.7,15
S2Dry2023-5,26.4,35.4,8.17,6.79,10,3.91,2.1,0.7,14.7
S2Dry2023-6,26.2,35.3,8.22,7.26,10,2,2.1,0.7,27.6
S2Dry2023-7,26.4,35.6,8.01,6.71,10,2.56,2.1,0.7,15
S2Dry2023-8,26.4,35.4,8.17,6.79,10,3.91,2.1,0.7,14.7
