Code,Sample,Sample_ID,Year,Season,Season_Year,Site,Health_Status,Algae_Touching,Source,Temperature,Salinity,pH,Oxygen,Ammonia ,Phosphates,Nitrates,Nitrites,TSS
1256-392,Ma-1,S1SASM,2022,Dry,Dry_2022,Protected,Healthy,Algae_No,Mucus,26.4,36.1,8.91,5.62,10,2,2.1,0.91,3.69
1256-393,Ma-2,S1SAST,2022,Dry,Dry_2022,Protected,Healthy,Algae_No,Tissue,26.2,36.3,8.18,6.01,10,2,5.58,1.46,3.61
1256-394,Ma-3,S1CASM,2022,Dry,Dry_2022,Protected,Healthy,Algae_Yes,Mucus,26.5,36.2,8.63,6.3,11.6,2,7.25,1.58,3.57
1256-395,Ma-4,S1CAST,2022,Dry,Dry_2022,Protected,Healthy,Algae_Yes,Tissue,26.4,36.1,8.91,5.62,10,2,2.1,0.91,3.69
1256-396,Ma-5,S1SAEM,2022,Dry,Dry_2022,Protected,Stressed,Algae_No,Mucus,26.2,36.3,8.18,6.01,10,2,5.58,1.46,3.61
1256-397,Ma-6,S1SAET,2022,Dry,Dry_2022,Protected,Stressed,Algae_No,Tissue,26.5,36.2,8.63,6.3,11.6,2,7.25,1.58,3.57
1256-398,Ma-7,S1CAEM,2022,Dry,Dry_2022,Protected,Stressed,Algae_Yes,Mucus,26.4,36.1,8.91,5.62,10,2,2.1,0.91,3.69
1256-399,Ma-8,S1CAET,2022,Dry,Dry_2022,Protected,Stressed,Algae_Yes,Tissue,26.2,36.3,8.18,6.01,10,2,5.58,1.46,3.61
1256-400,Ma-9,S2SASM,2022,Dry,Dry_2022,Urban,Healthy,Algae_No,Mucus,25.9,36.3,8.35,5.39,11.6,3.28,21.7,1.63,1.4
1256-401,Ma-10,S2SAST,2022,Dry,Dry_2022,Urban,Healthy,Algae_No,Tissue,26.6,36.1,8.34,5.7,11.8,3.09,20.05,1.43,1.77
1256-402,Ma-11,S2CASM,2022,Dry,Dry_2022,Urban,Healthy,Algae_Yes,Mucus,26.4,36.4,8.39,5.22,13.4,2.83,21.6,1.56,1.62
1256-403,Ma-12,S2CAST,2022,Dry,Dry_2022,Urban,Healthy,Algae_Yes,Tissue,25.9,36.3,8.35,5.39,11.6,3.28,21.7,1.63,1.4
1256-404,Ma-13,S2SAEM,2022,Dry,Dry_2022,Urban,Stressed,Algae_No,Mucus,26.6,36.1,8.34,5.7,11.8,3.09,20.05,1.43,1.77
1256-405,Ma-14,S2SAET,2022,Dry,Dry_2022,Urban,Stressed,Algae_No,Tissue,26.4,36.4,8.39,5.22,13.4,2.83,21.6,1.56,1.62
1256-406,Ma-15,S2CAEM,2022,Dry,Dry_2022,Urban,Stressed,Algae_Yes,Mucus,25.9,36.3,8.35,5.39,11.6,3.28,21.7,1.63,1.4
1256-407,Ma-16,S2CAET,2022,Dry,Dry_2022,Urban,Stressed,Algae_Yes,Tissue,26.6,36.1,8.34,5.7,11.8,3.09,20.05,1.43,1.77
1256-408,Ma-17,S1SASMLl,2022,Rainy,Rainy_2022,Protected,Healthy,Algae_No,Mucus,28.2,29.9,8.4,4.29,10,4.7,12.5,0.7,12.2
1256-409,Ma-18,S1SASTLl,2022,Rainy,Rainy_2022,Protected,Healthy,Algae_No,Tissue,28.3,29.4,8.43,4.22,10,3.32,11.9,0.7,11.1
1256-410,Ma-19,S1CASMLl,2022,Rainy,Rainy_2022,Protected,Healthy,Algae_Yes,Mucus,28.3,29.9,8.45,4.3,10,3.26,11.1,0.7,11
1256-411,Ma-20,S1CASTLl,2022,Rainy,Rainy_2022,Protected,Healthy,Algae_Yes,Tissue,28.2,29.9,8.4,4.29,10,4.7,12.5,0.7,12.2
