Taxa,S1Dry2022-1,S1Dry2022-2,S1Dry2022-3,S1Dry2022-4,S1Dry2022-5,S1Dry2022-6,S1Dry2022-7,S1Dry2022-8,S2Dry2022-1,S2Dry2022-2,S2Dry2022-3,S2Dry2022-4,S2Dry2022-5,S2Dry2022-6,S2Dry2022-7,S2Dry2022-8,S1Rainy2022-1,S1Rainy2022-2,S1Rainy2022-3,S1Rainy2022-4,S1Rainy2022-5,S1Rainy2022-6,S1Rainy2022-7,S1Rainy2022-8,S2Rainy2022-1,S2Rainy2022-2,S2Rainy2022-3,S2Rainy2022-4,S2Rainy2022-5,S2Rainy2022-6,S2Rainy2022-7,S2Rainy2022-8,S1Dry2022-9,S2Dry2022-9,S1Rainy2022-9,S2Rainy2022-9,S1Dry2023-1,S1Dry2023-2,S1Dry2023-3,S1Dry2023-4,S1Dry2023-5,S1Dry2023-6,S1Dry2023-7,S1Dry2023-8,S2Dry2023-1,S2Dry2023-2,S2Dry2023-3,S2Dry2023-4,S2Dry2023-5,S2Dry2023-6,S2Dry2023-7,S2Dry2023-8,S1Dry2023-9,S2Dry2023-9,S1Rainy2023-1,S1Rainy2023-2,S1Rainy2023-3,S1Rainy2023-4,S1Rainy2023-5,S1Rainy2023-6,S1Rainy2023-7,S1Rainy2023-8,S2Rainy2023-1,S2Rainy2023-2,S2Rainy2023-3,S2Rainy2023-4,S2Rainy2023-5,S2Rainy2023-6,S2Rainy2023-7,S2Rainy2023-8,S1Rainy2023-9,S2Rainy2023-9
asv0001_Endozoicomonadaceae,1112,989,947,1074,982,1014,951,1002,774,686,750,435,831,656,732,535,823,836,1002,808,822,508,524,0,723,938,859,813,814,528,624,670,0,0,0,0,1088,1131,1199,1132,1166,1122,1068,1011,914,856,936,959,988,1050,844,891,0,0,1046,614,975,669,1103,704,1101,809,1094,709,878,845,932,955,886,777,0,0
asv0002_Endozoicomonadaceae,935,916,927,946,846,948,887,985,699,597,696,452,766,675,636,577,866,767,862,817,816,461,395,0,827,881,771,812,827,656,532,693,0,0,0,0,970,989,1012,990,1064,1042,938,926,857,930,859,891,967,930,806,834,0,0,1147,723,1008,754,1125,765,1047,718,928,885,911,825,1000,944,994,875,0,0
asv0003_Endozoicomonadaceae,924,900,1031,951,881,886,936,826,787,643,680,426,756,765,696,559,735,823,911,774,736,582,475,0,794,848,833,769,961,740,618,617,0,0,0,0,1089,1053,1142,1046,969,1120,1072,988,876,807,743,830,936,894,939,867,0,0,904,404,853,730,875,723,914,622,835,743,727,666,883,781,765,680,0,0
asv0004_Endozoicomonadaceae,887,862,953,881,908,852,876,885,691,506,651,377,725,565,611,475,757,746,817,737,667,498,406,120,742,767,710,689,746,433,512,572,0,0,0,0,932,989,942,946,967,856,880,923,784,790,807,832,809,858,761,758,0,0,689,407,608,648,794,585,789,717,748,601,649,656,717,689,715,616,0,0
asv0005_Endozoicomonadaceae,815,822,876,910,813,820,807,838,695,679,671,420,740,651,637,525,778,773,809,613,687,330,403,0,734,731,655,624,753,441,465,589,0,0,0,0,988,996,951,901,987,985,945,860,761,796,805,871,690,822,802,715,0,0,771,583,706,754,842,622,757,638,733,558,738,620,748,685,668,673,0,0
asv0006_Endozoicomonadaceae,874,827,770,855,779,873,856,880,735,571,633,395,672,544,624,537,638,630,652,584,638,384,436,0,713,712,622,614,741,535,456,476,0,0,0,0,814,816,872,862,911,771,832,902,730,805,639,751,720,742,733,709,0,0,487,563,708,612,700,506,685,676,733,583,603,627,733,586,571,604,0,0
asv0007_Endozoicomonadaceae,821,805,826,765,775,720,799,795,618,586,697,333,595,623,590,488,675,771,812,543,600,335,477,0,640,663,709,654,741,509,447,542,0,0,0,0,828,798,826,880,917,778,901,818,695,732,726,720,727,746,738,723,0,0,991,590,697,667,840,600,899,697,830,613,711,613,849,796,728,764,0,0
asv0008_Endozoicomonadaceae,727,699,772,726,738,608,695,762,562,479,597,277,552,471,518,395,616,636,596,613,535,464,408,0,607,610,559,544,626,537,466,443,0,0,0,0,755,733,710,781,739,812,766,762,691,629,638,657,598,630,635,588,0,0,800,403,594,486,715,546,539,619,678,571,527,536,647,615,593,548,0,0
asv0009_Endozoicomonadaceae,544,639,602,593,602,576,604,544,498,412,461,273,500,469,493,348,507,488,621,622,501,421,278,0,641,607,572,521,524,436,366,383,0,0,0,0,686,729,676,682,738,673,732,616,613,646,486,644,602,584,622,516,0,0,727,363,610,429,657,433,637,576,539,481,508,540,617,619,537,496,0,0
asv0010_Endozoicomonadaceae,599,605,552,589,644,575,531,564,450,382,381,248,391,417,420,338,479,562,571,509,563,347,370,0,577,568,518,580,528,445,445,410,121,0,0,0,627,583,667,673,694,637,747,665,614,665,683,508,523,554,496,577,0,0,501,323,463,443,580,342,471,545,485,459,418,325,446,470,391,423,0,0
asv0011_Endozoicomonadaceae,515,569,568,554,526,558,561,580,460,383,473,227,450,426,543,370,527,476,556,545,524,407,396,0,451,516,471,551,547,443,353,386,0,0,0,0,665,606,722,696,605,675,671,645,657,555,525,581,510,556,499,496,0,0,667,409,665,411,563,413,554,555,526,502,455,455,542,464,502,494,0,0
asv0012_Endozoicomonadaceae,508,585,586,479,485,595,511,548,421,445,399,239,457,470,457,262,511,537,530,516,504,423,303,298,547,522,544,537,613,377,352,365,0,0,0,0,654,550,654,618,624,673,600,640,549,502,570,521,556,536,433,509,0,0,620,401,593,454,701,443,651,571,611,452,575,497,612,606,554,572,0,0
asv0013_Endozoicomonadaceae,583,575,595,540,542,561,530,551,445,372,462,256,435,430,412,400,480,448,581,555,515,323,374,0,536,456,548,527,504,300,302,441,0,0,0,0,673,653,653,582,687,584,584,632,527,532,503,514,630,539,564,507,0,0,519,504,513,433,666,413,647,518,565,575,436,416,571,552,545,465,0,0
asv0014_Endozoicomonadaceae,558,502,501,549,559,493,556,540,416,283,428,244,413,429,427,323,491,547,546,522,569,279,284,483,472,521,517,534,542,350,355,390,0,0,0,0,676,611,640,646,658,700,707,620,533,599,588,530,573,541,531,498,0,0,421,182,369,352,528,269,414,343,419,431,313,297,413,379,322,370,0,0
asv0015_Endozoicomonadaceae,524,553,506,501,461,489,507,478,355,346,403,233,414,373,383,388,472,514,483,445,459,374,351,0,469,484,473,429,519,434,370,450,0,0,0,0,570,583,610,599,683,600,672,572,554,527,463,470,563,550,558,451,0,0,475,297,522,466,546,468,536,475,496,411,488,430,510,466,434,449,0,0
asv0016_Endozoicomonadaceae,476,499,411,484,466,466,507,474,386,303,389,369,395,394,276,370,463,434,514,419,411,298,288,0,452,447,439,441,395,275,287,396,0,0,0,0,577,569,543,484,511,558,487,569,521,483,492,498,547,471,520,516,0,0,535,308,600,353,522,389,519,520,455,520,465,392,462,505,420,401,0,0
asv0017_Endozoicomonadaceae,483,487,427,469,461,556,455,443,336,286,430,334,376,428,310,311,419,361,436,400,354,270,267,0,390,418,427,416,378,314,265,332,0,0,0,0,575,532,529,506,497,507,481,505,474,452,391,418,490,430,527,511,0,0,548,329,471,399,557,319,483,483,468,428,442,331,510,457,410,366,0,0
asv0018_Endozoicomonadaceae,507,498,510,529,488,415,404,448,380,337,412,325,351,323,385,347,441,407,475,452,368,349,307,0,403,461,369,390,523,263,335,359,0,0,0,0,535,467,489,509,514,536,515,577,441,453,491,430,458,497,523,424,0,0,402,273,378,398,376,293,464,448,397,430,397,318,429,400,378,318,0,0
asv0019_Endozoicomonadaceae,410,493,470,404,413,374,481,451,425,329,347,167,375,328,332,328,456,457,396,430,334,384,314,0,399,438,391,409,449,306,341,331,0,0,0,0,498,537,527,522,467,555,584,515,412,389,538,454,409,435,452,447,0,0,704,328,456,446,627,429,584,504,559,487,464,384,489,449,435,467,0,0
asv0020_Endozoicomonadaceae,460,450,449,486,446,469,461,432,375,322,351,298,363,315,257,255,349,360,343,364,455,343,214,179,425,371,348,369,401,346,252,280,0,0,0,0,482,474,431,454,462,456,469,473,370,373,453,388,441,422,463,417,0,0,485,215,350,309,403,317,348,334,373,475,423,284,380,356,278,259,0,0
asv0021_Endozoicomonadaceae,410,401,413,478,454,406,472,437,382,314,376,298,317,333,261,314,321,352,376,356,337,371,189,0,389,324,336,402,352,350,316,271,0,0,0,0,515,459,469,419,458,449,476,437,391,398,349,416,405,436,476,389,0,0,375,237,366,256,378,252,422,265,330,409,400,313,406,350,278,327,0,0
asv0022_Endozoicomonadaceae,429,443,402,386,468,395,424,450,309,313,283,276,359,285,271,284,325,284,342,371,334,330,242,0,344,354,327,307,370,405,265,307,0,0,0,0,415,387,395,436,410,420,442,435,386,406,367,383,362,340,453,387,0,0,262,316,396,241,371,221,383,304,296,328,377,251,329,344,277,307,0,0
asv0023_Endozoicomonadaceae,363,385,374,421,424,342,383,382,318,257,324,254,345,301,284,275,365,367,378,392,315,172,239,0,365,356,322,330,394,206,234,281,0,0,0,0,434,445,436,411,441,497,424,516,415,367,337,356,330,368,483,353,0,0,477,298,402,337,407,286,493,449,368,452,305,367,454,385,397,289,0,0
asv0024_Endozoicomonadaceae,376,357,369,415,328,385,341,324,260,206,285,257,304,275,232,213,297,320,303,352,268,269,173,0,283,325,295,285,306,294,288,270,0,0,0,0,418,345,375,379,356,389,354,375,361,324,376,301,286,354,420,318,0,0,362,185,302,245,400,306,268,370,284,319,361,253,318,335,300,233,0,0
asv0025_Endozoicomonadaceae,329,300,337,309,292,318,348,321,267,203,311,103,258,331,303,247,334,307,364,347,340,204,194,0,363,295,337,328,344,259,220,222,0,0,0,0,451,412,378,386,416,446,432,400,336,396,338,335,332,337,344,361,0,0,295,176,327,164,305,171,386,251,328,273,245,223,303,288,229,216,0,0
asv0026_Endozoicomonadaceae,243,275,275,314,269,305,297,272,218,218,212,179,206,252,225,201,264,307,319,238,278,133,150,0,277,249,269,289,268,318,194,200,0,0,0,0,405,349,369,330,379,304,349,383,357,317,311,302,333,246,323,313,0,0,247,235,242,217,424,192,280,291,259,314,252,258,262,217,275,268,0,0
asv0027_Endozoicomonadaceae,109,142,96,118,112,137,92,130,120,126,137,99,131,103,106,90,84,53,53,76,61,0,0,0,149,161,126,130,149,0,137,112,0,0,0,0,0,0,0,0,0,0,0,0,165,177,186,147,198,109,182,156,0,0,0,0,0,0,0,0,0,183,179,160,167,0,200,155,160,144,0,0
asv0028_Endozoicomonadaceae,93,78,93,79,119,130,85,108,121,132,139,105,118,116,89,92,69,80,74,46,90,0,73,0,146,167,121,140,116,0,113,116,0,0,0,0,0,0,0,0,0,0,0,0,150,183,147,156,171,102,133,136,0,0,0,0,0,0,0,0,0,187,119,148,151,158,189,178,157,131,0,0
asv0029_Endozoicomonadaceae,114,92,102,87,100,97,94,124,138,155,147,75,108,154,100,71,83,67,67,91,85,0,62,0,83,147,133,189,139,0,110,98,0,0,0,0,0,0,0,0,0,0,0,0,175,166,137,110,140,92,113,165,0,0,0,0,0,0,164,0,0,0,99,0,137,0,157,147,155,152,0,0
asv0030_Endozoicomonadaceae,93,113,67,116,141,114,66,109,109,129,148,102,183,128,115,72,50,89,98,49,79,0,93,0,117,120,112,130,130,0,102,96,0,0,0,0,0,0,0,0,0,0,0,0,187,144,136,150,102,78,179,169,0,0,0,0,0,0,0,0,0,0,90,0,117,0,115,119,118,137,0,0
asv0031_Endozoicomonadaceae,105,96,85,93,109,98,79,99,112,115,121,68,167,107,127,84,46,40,63,59,51,0,0,0,96,88,139,161,186,0,65,87,0,0,0,0,0,0,0,0,0,0,0,0,136,149,101,134,145,80,115,147,0,0,0,0,0,0,0,0,0,0,148,0,0,0,155,162,152,85,0,0
asv0032_Endozoicomonadaceae,91,84,85,107,83,95,90,121,97,103,124,87,103,90,94,56,55,92,76,55,75,0,53,0,152,147,119,124,198,0,110,80,0,0,0,0,0,0,0,0,0,0,0,0,110,114,148,105,109,79,125,173,0,0,0,0,0,0,0,0,0,0,143,133,125,0,160,162,121,152,0,0
asv0033_Endozoicomonadaceae,86,91,88,88,108,93,61,117,122,112,116,73,96,106,111,53,51,62,74,0,53,0,41,0,137,134,108,180,148,0,75,92,0,0,0,0,0,0,0,0,0,0,0,0,130,135,117,151,118,70,114,135,0,0,0,0,0,0,0,0,0,0,133,137,0,0,117,127,116,106,0,0
